Quadrat,Tag,Species,DBH,local_x,local_y,Code,ScientificName,CommonName,Family,Type,ln,wd,Flagged,Flagged_Equation,stake_x,stake_y,global_x,global_y,AverageE,AverageN,POINT_X,POINT_Y,Land_use,AREASYMBOL,SPATIALVER,MUSYM,MUKEY
1,228,TSUCAN,22,12.123,18.652,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,12.123,38.652,721356.9152,4846095.627,721347.9582,4846091.268,Managed Forest,NH009,9,130E,281049
1,229,TSUCAN,13.5,16.637,13.71,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,16.637,33.71,721351.9732,4846091.113,721343.5451,4846086.201,Managed Forest,NH009,9,130E,281049
1,231,TSUCAN,17.7,16.969,16.456,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,16.969,36.456,721354.7192,4846090.781,721346.3226,4846086.089,Managed Forest,NH009,9,130E,281049
1,232,TSUCAN,12,18.73,17.145,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,18.73,37.145,721355.4082,4846089.02,721347.2117,4846084.331,Managed Forest,NH009,9,130E,281049
1,233,TSUCAN,14.8,18.678,12.8,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,18.678,32.8,721351.0632,4846089.072,721342.8711,4846084.021,Managed Forest,NH009,9,130E,281049
1,234,TSUCAN,15.1,14.61,14.267,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,14.61,34.267,721352.5302,4846093.14,721343.8686,4846088.337,Managed Forest,NH009,9,130E,281049
1,235,FRANIG,47,14.032,14.185,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,FALSE,FALSE,0,20,14.032,34.185,721352.4482,4846093.718,721343.7206,4846088.926,Managed Forest,NH009,9,130E,281049
1,236,TSUCAN,18,14.583,13.534,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,14.583,33.534,721351.7972,4846093.167,721343.1342,4846088.304,Managed Forest,NH009,9,130E,281049
1,237,TSUCAN,17.1,15.082,10.193,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,15.082,30.193,721348.4562,4846092.668,721339.8584,4846087.509,Managed Forest,NH009,9,130E,281049
1,238,TSUCAN,12.4,18.1,10.655,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,18.1,30.655,721348.9182,4846089.65,721340.665,4846084.437,Managed Forest,NH009,9,130E,281049
1,239,TSUCAN,11.5,10.725,10.574,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,10.725,30.574,721348.8372,4846097.025,721339.7393,4846092.032,Managed Forest,NH009,9,130E,281049
1,240,TSUCAN,9.8,10.62,5.502,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,10.62,25.502,721343.7652,4846097.13,721334.6674,4846091.715,Managed Forest,NH009,9,130E,281049
1,241,TSUCAN,16.4,10.358,9.033,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,10.358,29.033,721347.2962,4846097.392,721338.1599,4846092.281,Managed Forest,NH009,9,130E,281049
1,242,TSUCAN,18,14.61,5.041,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,14.61,25.041,721343.3042,4846093.14,721334.6646,4846087.564,Managed Forest,NH009,9,130E,281049
1,243,TSUCAN,23.4,10.41,0.859,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,10.41,20.859,721339.1222,4846097.34,721330.0114,4846091.543,Managed Forest,NH009,9,130E,281049
1,244,TSUCAN,15.9,10.384,2.787,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,10.384,22.787,721341.0502,4846097.366,721331.9318,4846091.731,Managed Forest,NH009,9,130E,281049
1,245,TSUCAN,15.6,13.14,7.295,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,13.14,27.295,721345.5582,4846094.61,721336.7448,4846089.268,Managed Forest,NH009,9,130E,281049
1,246,TSUCAN,9.8,15.03,7.186,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,15.03,27.186,721345.4492,4846092.72,721336.8526,4846087.311,Managed Forest,NH009,9,130E,281049
1,247,TILAME,20.5,17.208,8.082,,Tilia americana,Basswood,Malvaceae,DECIDUOUS,20,20,FALSE,FALSE,0,20,17.208,28.082,721346.3452,4846090.542,721337.996,4846085.141,Managed Forest,NH009,9,130E,281049
1,248,TSUCAN,14,16.841,6.453,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,16.841,26.453,721344.7162,4846090.909,721336.3288,4846085.382,Managed Forest,NH009,9,130E,281049
1,249,TSUCAN,19.6,18.179,2.895,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,18.179,22.895,721341.1582,4846089.571,721332.9326,4846083.705,Managed Forest,NH009,9,130E,281049
1,250,TSUCAN,13.6,19.078,7.532,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,19.078,27.532,721345.7952,4846088.672,721337.6615,4846083.167,Managed Forest,NH009,9,130E,281049
1,251,FRAAME,45.5,19.734,0.608,,Fraxinus americana,White Ash,Oleaceae,DECIDUOUS,20,20,FALSE,FALSE,0,20,19.734,20.608,721338.8712,4846088.016,721330.8292,4846081.91,Managed Forest,NH009,9,130E,281049
1,252,TSUCAN,16.8,19.839,1.042,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,19.839,21.042,721339.3052,4846087.911,721331.2742,4846081.838,Managed Forest,NH009,9,130E,281049
1,253,TSUCAN,18.9,13.724,2.264,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,13.724,22.264,721340.5272,4846094.026,721331.7927,4846088.244,Managed Forest,NH009,9,130E,281049
1,254,TSUCAN,25.8,17.871,1.232,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,20,17.871,21.232,721339.4952,4846089.879,721331.2383,4846083.883,Managed Forest,NH009,9,130E,281049
2,101,ACESAC,24.4,1.32,5.176,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,FALSE,FALSE,0,40,1.32,45.176,721363.4392,4846106.43,721353.229,4846102.951,Managed Forest,NH009,9,130E,281049
2,102,FRAAME,35.1,0.656,8.839,,Fraxinus americana,White Ash,Oleaceae,DECIDUOUS,20,20,FALSE,FALSE,0,40,0.656,48.839,721367.1022,4846107.094,721356.8072,4846103.943,Managed Forest,NH009,9,130E,281049
2,103,TSUCAN,8.9,2.28,8.162,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,40,2.28,48.162,721366.4252,4846105.47,721356.3179,4846102.212,Managed Forest,NH009,9,130E,281049
2,104,CARGLA,31,2.026,8.487,,Carya glabra,Pignut Hickory,Juglandaceae,DECIDUOUS,20,20,FALSE,FALSE,0,40,2.026,48.487,721366.7502,4846105.724,721356.613,4846102.501,Managed Forest,NH009,9,130E,281049
2,105,TSUCAN,9.5,4.209,7.809,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,40,4.209,47.809,721366.0722,4846103.541,721356.1867,4846100.194,Managed Forest,NH009,9,130E,281049
2,106,CARCAR,5.1,9.31,5.668,,Carpinus caroliniana,Musclewood,Betulaceae,DECIDUOUS,20,20,FALSE,FALSE,0,40,9.31,45.668,721363.9312,4846098.44,721354.6352,4846094.756,Managed Forest,NH009,9,130E,281049
2,107,CARCAR,5.2,8.6,1.793,,Carpinus caroliniana,Musclewood,Betulaceae,DECIDUOUS,20,20,FALSE,FALSE,0,40,8.6,41.793,721360.0562,4846099.15,721350.6881,4846095.163,Managed Forest,NH009,9,130E,281049
2,108,TSUCAN,22.2,6.772,1.468,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,FALSE,FALSE,0,40,6.772,41.468,721359.7312,4846100.978,721350.1545,4846097.02,Managed Forest,NH009,9,130E,281049
2,109,FRANIG,31,2.94,13.148,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,FALSE,FALSE,0,40,2.94,53.148,721371.4112,4846104.81,721361.3676,4846101.949,Managed Forest,NH009,9,130E,281049
2,110,FRANIG,15.6,5.478,15.56,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,FALSE,FALSE,0,40,5.478,55.56,721373.8232,4846102.272,721364.0646,4846099.535,Managed Forest,NH009,9,130E,281049
