Species_code,X,Y,Clusters_id,Land_use,Soil_type,UTM18N_Easting,UTM18N_Northing,Longitude,Latitude,Elevation(m),DBH
TSUCAN,8.93,52.471,1,Managed Forest,130E,721361.3785,4846095.718,-72.25125200277313,43.734845827619964,122.41,11.1
TSUCAN,8.651,51.766,1,Managed Forest,130E,721360.6432,4846095.947,-72.25126102869692,43.73484810663717,122.41,7.5
TSUCAN,3.194,50.465,1,Managed Forest,130E,721358.7201,4846101.463,-72.25128261078007,43.73489828912377,123.59,8.5
TSUCAN,4.97,52.769,1,Managed Forest,130E,721361.2221,4846099.825,-72.25125225185974,43.73488281081911,122.67,14.9
FRANIG,4.793,53.148,1,Managed Forest,130E,721361.5799,4846100.039,-72.25124772582893,43.73488462863185,123.01,20.2
TSUCAN,4.64,53.609,1,Managed Forest,130E,721362.0223,4846100.236,-72.25124215747057,43.73488626829999,123.01,7.4
TSUCAN,10.533,50.813,1,Managed Forest,130E,721359.9081,4846093.927,-72.25127097801945,43.73483015909837,122.44,25
TILAME,14.488,55.506,1,Managed Forest,130E,721365.043,4846090.243,-72.25120880463882,43.73479549403276,122.33,15
TSUCAN,16.062,53.88,1,Managed Forest,130E,721363.6012,4846088.485,-72.25122741155764,43.734780113767826,122.37,9.5
TSUCAN,15.859,52.687,1,Managed Forest,130E,721362.3878,4846088.594,-72.25124241691931,43.73478145627883,122.37,34.3
TSUCAN,12.28,48.893,1,Managed Forest,130E,721358.1928,4846091.965,-72.2512930612377,43.734813025780184,122.5,20.8
TSUCAN,12.991,46.861,1,Managed Forest,130E,721356.2471,4846091.062,-72.25131756621222,43.73480548540305,122.5,13.1
TSUCAN,14.133,46.102,1,Managed Forest,130E,721355.6207,4846089.821,-72.25132584656973,43.73479451138786,122.42,47.7
TSUCAN,14.437,42.118,1,Managed Forest,130E,721351.681,4846089.174,-72.25137497844884,43.73478986855716,122.36,12.5
TSUCAN,13.245,41.847,1,Managed Forest,130E,721351.2741,4846090.38,-72.25137952890583,43.734800836238534,122.34,10.3
CARCAR,10.884,40.845,1,Managed Forest,130E,721350.004,4846092.729,-72.25139431541686,43.73482234121026,122.32,3.6
CARCOR,12.052,43.257,1,Managed Forest,130E,721352.5441,4846091.728,-72.25136322170145,43.73481258045491,122.36,136.2
TSUCAN,11.849,42.633,1,Managed Forest,130E,721351.8983,4846091.885,-72.25137116716377,43.734814185212144,122.36,8.8
TILAME,12.305,46.617,1,Managed Forest,130E,721355.9251,4846091.748,-72.25132127768563,43.734811751096984,122.5,24.2
TSUCAN,13.803,45.37,1,Managed Forest,130E,721354.8527,4846090.1,-72.25133525749524,43.734797249837676,122.42,22.1
CARCAR,3.757,63.219,3,Managed Forest,130E,721371.5082,4846101.952,-72.25112379375939,43.7348988695213,123.31,4.9
FRAAME,2.924,65.161,3,Managed Forest,130E,721373.3501,4846102.973,-72.2511005276132,43.734907502081,123.13,17.1
TILAME,8.2,70.033,3,Managed Forest,130E,721378.815,4846097.943,-72.25103481531929,43.73486063309047,122.73,15
