OID_,Quadrat,Tag,Species,DBH,local_x,local_y,Code,ScientificName,CommonName,Family,Type,ln,wd,stake_x,stake_y,global_x,global_y,global_y_neg,global_x_neg,N18UTMFrom0313E,N18UTMFrom0313N,Land_use
90,1,251,FRAAME,45.5,19.734,0.608,,Fraxinus americana,White Ash,Oleaceae,DECIDUOUS,20,20,0,20,19.734,20.608,-20.608,-19.734,721330.8292,4846081.91,Managed Forest
91,1,252,TSUCAN,16.8,19.839,1.042,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,19.839,21.042,-21.042,-19.839,721331.2742,4846081.838,Managed Forest
92,1,253,TSUCAN,18.9,13.724,2.264,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,13.724,22.264,-22.264,-13.724,721331.7927,4846088.244,Managed Forest
93,1,254,TSUCAN,25.8,17.871,1.232,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,20,17.871,21.232,-21.232,-17.871,721331.2383,4846083.883,Managed Forest
94,2,101,ACESAC,24.4,1.32,5.176,,Acer saccharum,Sugar Maple,Sapindaceae,DECIDUOUS,20,20,0,40,1.32,45.176,-45.176,-1.32,721353.229,4846102.951,Managed Forest
95,2,102,FRAAME,35.1,0.656,8.839,,Fraxinus americana,White Ash,Oleaceae,DECIDUOUS,20,20,0,40,0.656,48.839,-48.839,-0.656,721356.8072,4846103.943,Managed Forest
96,2,103,TSUCAN,8.9,2.28,8.162,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,40,2.28,48.162,-48.162,-2.28,721356.3179,4846102.212,Managed Forest
97,2,104,CARGLA,31,2.026,8.487,,Carya glabra,Pignut Hickory,Juglandaceae,DECIDUOUS,20,20,0,40,2.026,48.487,-48.487,-2.026,721356.613,4846102.501,Managed Forest
98,2,105,TSUCAN,9.5,4.209,7.809,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,40,4.209,47.809,-47.809,-4.209,721356.1867,4846100.194,Managed Forest
99,2,106,CARCAR,5.1,9.31,5.668,,Carpinus caroliniana,Musclewood,Betulaceae,DECIDUOUS,20,20,0,40,9.31,45.668,-45.668,-9.31,721354.6352,4846094.756,Managed Forest
100,2,107,CARCAR,5.2,8.6,1.793,,Carpinus caroliniana,Musclewood,Betulaceae,DECIDUOUS,20,20,0,40,8.6,41.793,-41.793,-8.6,721350.6881,4846095.163,Managed Forest
101,2,108,TSUCAN,22.2,6.772,1.468,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,40,6.772,41.468,-41.468,-6.772,721350.1545,4846097.02,Managed Forest
102,2,109,FRANIG,31,2.94,13.148,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,0,40,2.94,53.148,-53.148,-2.94,721361.3676,4846101.949,Managed Forest
103,2,110,FRANIG,15.6,5.478,15.56,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,0,40,5.478,55.56,-55.56,-5.478,721364.0646,4846099.535,Managed Forest
104,2,111,TSUCAN,23.6,4.057,16.861,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,40,4.057,56.861,-56.861,-4.057,721365.1997,4846101.109,Managed Forest
105,2,112,FRAAME,16.4,5.224,16.996,,Fraxinus americana,White Ash,Oleaceae,DECIDUOUS,20,20,0,40,5.224,56.996,-56.996,-5.224,721365.4681,4846099.918,Managed Forest
106,2,113,FAGGRA,8.3,5.224,18.622,,Fagus grandifolia,Beech,Fagaceae,DECIDUOUS,20,20,0,40,5.224,58.622,-58.622,-5.224,721367.0902,4846100.054,Managed Forest
107,2,114,TSUCAN,11.1,8.93,12.471,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,40,8.93,52.471,-52.471,-8.93,721361.3785,4846095.718,Managed Forest
108,2,115,TSUCAN,7.5,8.651,11.766,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,40,8.651,51.766,-51.766,-8.651,721360.6432,4846095.947,Managed Forest
109,2,116,TSUCAN,8.5,3.194,10.465,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,40,3.194,50.465,-50.465,-3.194,721358.7201,4846101.463,Managed Forest
110,2,117,TSUCAN,14.9,4.97,12.769,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,40,4.97,52.769,-52.769,-4.97,721361.2221,4846099.825,Managed Forest
111,2,118,FRANIG,20.2,4.793,13.148,,Fraxinus nigra,Black ash,Oleaceae,DECIDUOUS,20,20,0,40,4.793,53.148,-53.148,-4.793,721361.5799,4846100.039,Managed Forest
112,2,119,TSUCAN,7.4,4.64,13.609,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,40,4.64,53.609,-53.609,-4.64,721362.0223,4846100.236,Managed Forest
